,0,1,2,3,4
0,10.0,60.967499999999994,61.89,0.012141999999585096,0.00590100000044913
1,20.0,65.035,64.96,0.019656999997096136,0.004702000001998385
2,30.0,67.12,67.25999999999999,0.03920099999959348,0.012829999999667052
3,40.0,68.60000000000001,68.05,0.04456000000209315,0.011888000000908505
4,50.0,69.085,68.52000000000001,0.05111699999906705,0.017878000002383487
5,60.0,69.37,68.91000000000001,0.04502599999977974,0.016669000000547385
6,70.0,69.61749999999999,69.19,0.05845399999816436,0.02223299999968731
7,80.0,70.255,70.1,0.05244499999753316,0.02065500000026077
8,90.0,71.0275,71.24000000000001,0.05004199999893899,0.024634000001242384
9,100.0,72.7825,73.31,0.06233599999904982,0.02659499999936088
10,110.0,72.9725,73.24000000000001,0.05890500000168686,0.03009300000121584
11,120.0,73.3825,73.2,0.06501999999818509,0.033787000000302214
12,130.0,73.76,73.72,0.07381600000007893,0.035862000000634
13,140.0,74.465,73.77,0.07084699999904842,0.03462500000023283
14,150.0,75.1475,74.78,0.07879999999931897,0.03553499999907217
15,160.0,75.41,75.17,0.0814490000011574,0.03595100000165985
16,170.0,76.0,75.53,0.08677300000272226,0.03821099999913713
17,180.0,76.6625,75.97,0.0891139999985171,0.03930600000239792
18,190.0,76.75999999999999,76.14999999999999,0.0906250000007276,0.048778000000311295
19,200.0,77.4,77.03,0.09084500000244589,0.05348500000036438
20,210.0,77.8725,77.36,0.09649099999660393,0.05064499999934924
21,220.0,78.225,77.71000000000001,0.09761000000071363,0.05236800000056974
22,230.0,78.5125,77.94,0.11501599999974133,0.04929899999842746
23,240.0,79.1225,78.8,0.10536800000045332,0.052533000001858454
24,250.0,79.5,79.09,0.10108100000070408,0.058842999998887535
25,260.0,79.845,79.7,0.11555199999929755,0.059709000001021195
26,270.0,79.8325,79.54,0.11403100000097766,0.06712200000038138
27,280.0,79.8925,79.47,0.13002599999890663,0.06369899999845074
28,290.0,79.975,79.69000000000001,0.12896600000021863,0.07092499999998836
29,300.0,80.28,80.05,0.11912500000107684,0.07203799999842886
30,310.0,80.54,80.16,0.12647199999992154,0.07513399999879766
31,320.0,80.58,80.28999999999999,0.13146000000051572,0.07611199999882956
32,330.0,80.5475,80.28999999999999,0.13323899999886635,0.08394699999917066
33,340.0,80.72749999999999,80.28999999999999,0.14891699999861885,0.08087100000193459
34,350.0,80.74,80.36,0.14352399999916088,0.08201299999927869
35,360.0,80.9225,80.57,0.1552319999973406,0.08232899999711663
36,370.0,81.12,80.83,0.1564600000019709,0.09057300000131363
37,380.0,81.0575,80.87,0.136847999998281,0.09851900000285241
38,390.0,81.05499999999999,80.73,0.15784500000154367,0.094610999996803
39,400.0,81.1675,80.78999999999999,0.14351600000009057,0.0913010000003851
40,410.0,81.33,81.02000000000001,0.15942899999936344,0.11012800000025891
41,420.0,81.45,81.24,0.13468700000157696,0.10362800000075367
42,430.0,81.415,81.24,0.13486099999863654,0.10648699999728706
43,440.0,81.5975,81.28999999999999,0.1544240000002901,0.10390900000129477
44,450.0,81.645,81.21000000000001,0.1733009999989008,0.10944000000017695
45,460.0,81.61500000000001,81.34,0.15635999999722117,0.11099299999841605
46,470.0,81.89,81.34,0.1658320000024105,0.11377899999934016
47,480.0,81.8075,81.47999999999999,0.12010400000144728,0.11390300000130082
48,490.0,81.77250000000001,81.16,0.1496270000025106,0.12258999999903608
49,500.0,81.855,81.17,0.17038099999990663,0.12269799999921815
50,510.0,81.85,81.21000000000001,0.13883999999961816,0.12934099999984028
51,520.0,82.0275,81.36,0.12395599999945262,0.13143099999797414
52,530.0,81.9975,81.37,0.12968800000089686,0.13166699999783305
53,540.0,82.1375,81.46,0.13078100000348059,0.13609899999937625
54,550.0,82.17750000000001,81.66,0.10731400000076974,0.1440020000009099
55,560.0,82.24000000000001,81.67999999999999,0.11439499999687541,0.15064599999823258
56,570.0,82.2825,81.81,0.11501299999872572,0.15730099999927916
57,580.0,82.33749999999999,81.6,0.08263799999986077,0.1498780000001716
58,590.0,82.38250000000001,81.66,0.0999630000005709,0.15282400000069174
59,600.0,82.3925,81.82000000000001,0.10043500000028871,0.15902100000312203
60,610.0,82.46,81.78,0.10898000000088359,0.1657229999982519
61,620.0,82.475,81.76,0.10544900000240887,0.16119599999728962
62,630.0,82.52000000000001,81.71000000000001,0.10734400000001187,0.158449999998993
63,640.0,82.84,81.94,0.09374000000025262,0.1598760000015318
64,650.0,82.8775,82.05,0.11663000000044121,0.16337299999941024
65,660.0,82.8875,81.97,0.10586999999941327,0.17774899999858462
66,670.0,82.95,81.83,0.11518299999806914,0.17399899999873014
67,680.0,83.00750000000001,81.89,0.09282800000073621,0.17292100000122446
68,690.0,83.0325,81.96,0.12158399999680114,0.18569600000046194
69,700.0,83.0475,82.26,0.12597400000231573,0.18354799999724491
70,710.0,83.265,82.39999999999999,0.12788000000000466,0.18334299999696668
71,720.0,83.3025,82.52000000000001,0.12046099999861326,0.18069499999910477
72,730.0,83.28,82.44,0.1302959999993618,0.1889130000017758
73,740.0,83.325,82.41000000000001,0.13847100000202772,0.1987749999971129
74,750.0,83.2975,82.39,0.12603799999851617,0.20230799999990268
75,760.0,83.365,82.28999999999999,0.12926800000059302,0.20468800000162446
76,770.0,83.3575,82.28999999999999,0.13194099999964237,0.2024700000001758
77,780.0,83.30499999999999,82.25,0.12760999999954947,0.19782599999962258
78,790.0,83.33749999999999,82.35,0.1397450000004028,0.21426500000234228
79,800.0,83.3475,82.37,0.13214300000254298,0.20722899999964284
80,810.0,83.32000000000001,82.35,0.1424780000015744,0.22504099999787286
81,820.0,83.3225,82.49,0.14127800000278512,0.20542699999714387
82,830.0,83.315,82.47,0.1477359999989858,0.2179099999993923
83,840.0,83.38499999999999,82.54,0.13090899999951944,0.2172549999995681
84,850.0,83.34,82.61,0.14277299999957904,0.2229860000006738
85,860.0,83.39750000000001,82.47,0.1432170000007318,0.22610700000223005
86,870.0,83.4525,82.45,0.14904400000159512,0.23079000000143424
87,880.0,83.465,82.6,0.1291270000001532,0.22632099999827915
88,890.0,83.535,82.46,0.1662259999975504,0.23771399999895948
89,900.0,83.6275,82.53,0.15151699999842094,0.23324000000138767
90,910.0,83.73,82.72,0.16401700000278652,0.23681299999952898
91,920.0,83.72749999999999,82.69,0.14326599999913014,0.23581199999898672
92,930.0,83.76249999999999,82.86,0.15846399999645655,0.24753200000122888
93,940.0,83.81,82.80999999999999,0.17437000000063563,0.24777800000083516
94,950.0,83.855,82.76,0.15311400000064168,0.24956700000257115
95,960.0,83.80499999999999,82.76,0.14180299999861745,0.2479090000015276
96,970.0,83.895,82.83,0.17301800000132062,0.259555000000546
97,980.0,84.0225,83.0,0.16414799999984098,0.26623100000142585
98,990.0,84.05,83.02000000000001,0.16255199999795877,0.25931800000034855
99,1000.0,84.0225,82.84,0.1565100000007078,0.2572649999965506
100,1450.0,84.64,83.47,0.25525199999901815,0.40908499999932246
101,1900.0,85.07249999999999,83.88,0.3385299999972631,0.5087310000017169
102,2350.0,85.41499999999999,83.99,0.4068039999983739,0.6129340000006778
103,2800.0,85.39999999999999,84.15,0.47840500000165775,0.7479490000005171
104,3250.0,85.8075,84.44,0.5407059999997728,0.8782570000003034
105,3700.0,85.9025,84.28,0.6882479999985662,0.766526999999769
106,4150.0,85.96000000000001,84.25,0.7510450000008859,1.1395579999989423
107,4600.0,85.9825,84.2,0.7734109999983048,1.2144059999991441
108,5050.0,86.04,84.25,0.8591989999986254,1.3462209999997867
109,5500.0,86.175,84.35000000000001,0.9306010000000242,1.4660279999989143
110,5950.0,86.3075,84.39,0.9932450000014796,1.5922390000014275
111,6400.0,86.2975,84.50999999999999,1.0698470000024827,1.7137049999982992
112,6850.0,86.39,84.44,1.1855710000018007,1.9626879999996163
113,7300.0,86.385,84.53,1.2113569999964966,2.0848499999992782
114,7750.0,86.3725,84.65,1.2982560000018566,2.1677440000021306
115,8200.0,86.46000000000001,84.68,1.5592130000004545,2.230257999999594
116,8650.0,86.5275,84.57000000000001,1.6137149999995017,2.4206320000012056
117,9100.0,86.59,84.64,1.6232400000008056,2.4433399999979883
118,9550.0,86.6675,84.52,1.656922999998642,2.5464150000007066
119,10000.0,86.7675,84.50999999999999,1.6715469999980996,2.5976210000007995
